Date,Monthly Return
2000-01,0.009117306
2000-02,0.104820854
2000-03,0.184841409
2000-04,-0.086517109
2000-05,-0.32292155
2000-06,0.24702363
2000-07,-0.029833148
2000-08,0.19926293
2000-09,-0.577436842
2000-10,-0.240291306
2000-11,-0.156548184
2000-12,-0.098484757
2001-01,0.453782077
2001-02,-0.156067959
2001-03,0.209312841
2001-04,0.15496249
2001-05,-0.217342269
2001-06,0.165415791
2001-07,-0.191828382
2001-08,-0.012770976
2001-09,-0.163883438
2001-10,0.132170593
2001-11,0.21298721
2001-12,0.028168222
2002-01,0.128769071
2002-02,-0.122168681
2002-03,0.090785309
2002-04,0.025347773
2002-05,-0.039968961
2002-06,-0.239481794
2002-07,-0.138830784
2002-08,-0.033417207
2002-09,-0.016950147
2002-10,0.108273327
2002-11,-0.035468041
2002-12,-0.075485145
2003-01,0.002094382
2003-02,0.045266441
2003-03,-0.057963176
2003-04,0.005661629
2003-05,0.262305439
2003-06,0.061834305
2003-07,0.105985699
2003-08,0.072579016
2003-09,-0.083593564
2003-10,0.104730522
2003-11,-0.086498823
2003-12,0.021997537
2004-01,0.055684787
2004-02,0.06028418
2004-03,0.130433331
2004-04,-0.046597364
2004-05,0.088441345
2004-06,0.15965707
2004-07,-0.006145433
2004-08,0.066480649
2004-09,0.123515293
2004-10,0.352256569
2004-11,0.279580503
2004-12,-0.039521977
2005-01,0.194098652
2005-02,0.166710656
2005-03,-0.071110218
2005-04,-0.134629235
2005-05,0.102606311
2005-06,-0.074194488
2005-07,0.158652077
2005-08,0.099414032
2005-09,0.143314025
2005-10,0.074240087
2005-11,0.177634776
2005-12,0.060011529
2006-01,0.050354648
2006-02,-0.092967673
2006-03,-0.084245566
2006-04,0.12228972
2006-05,-0.150873428
2006-06,-0.041827828
2006-07,0.186659563
2006-08,-0.001619109
2006-09,0.134562262
2006-10,0.053260522
2006-11,0.13048831
2006-12,-0.074405231
2007-01,0.010490639
2007-02,-0.013064389
2007-03,0.09809724
2007-04,0.074158008
2007-05,0.214327889
2007-06,0.007013766
2007-07,0.079646394
2007-08,0.051002035
2007-09,0.108246344
2007-10,0.237701456
2007-11,-0.04069511
2007-12,0.087037937
2008-01,-0.316640056
2008-02,-0.076388585
2008-03,0.147816228
2008-04,0.212195115
2008-05,0.085081924
2008-06,-0.112900883
2008-07,-0.050704533
2008-08,0.06656175
2008-09,-0.329558127
2008-10,-0.053404622
2008-11,-0.138675027
2008-12,-0.078990105
2009-01,0.05600509
2009-02,-0.009098178
2009-03,0.177024364
2009-04,0.197012816
2009-05,0.079312873
2009-06,0.048744407
2009-07,0.147160596
2009-08,0.029499727
2009-09,0.101896501
2009-10,0.016994753
2009-11,0.060530293
2009-12,0.054124661
2010-01,-0.088596846
2010-02,0.065396661
2010-03,0.148469784
2010-04,0.111021627
2010-05,-0.016124691
2010-06,-0.020827116
2010-07,0.022741235
2010-08,-0.05500527
2010-09,0.167215632
2010-10,0.060722264
2010-11,0.033789281
2010-12,0.036670614
2011-01,0.051959316
2011-02,0.040934851
2011-03,-0.013306564
2011-04,0.004648954
2011-05,-0.006569496
2011-06,-0.034959713
2011-07,0.1632857
2011-08,-0.014469612
2011-09,-0.009121154
2011-10,0.06152331
2011-11,-0.055783357
2011-12,0.059655038
2012-01,0.127110714
2012-02,0.188310734
2012-03,0.105283865
2012-04,-0.02596982
2012-05,-0.010702156
2012-06,0.010852372
2012-07,0.045821983
2012-08,0.089200242
2012-09,0.00710165
2012-10,-0.10759988
2012-11,-0.01686518
2012-12,-0.086589646
2013-01,-0.144089421
2013-02,-0.030933571
2013-03,0.008699295
2013-04,0.000270886
2013-05,0.015696232
2013-06,-0.112457096
2013-07,0.141225286
2013-08,0.076657511
2013-09,-0.015028261
2013-10,0.096381716
2013-11,0.063842101
2013-12,0.014791883
2014-01,-0.10769692
2014-02,0.051218891
2014-03,0.026057883
2014-04,0.099396797
2014-05,0.072717534
2014-06,0.033401808
2014-07,0.028731258
2014-08,0.072175744
2014-09,-0.01218406
2014-10,0.071960312
2014-11,0.101203662
2014-12,-0.067866405
2015-01,0.061424034
2015-02,0.096449404
2015-03,-0.027548879
2015-04,0.005786373
2015-05,0.040990752
2015-06,-0.033206048
2015-07,-0.03292677
2015-08,-0.070403866
2015-09,-0.017388664
2015-10,0.083409237
2015-11,-0.010041924
2015-12,-0.106419645
2016-01,-0.075242443
2016-02,-0.006677473
2016-03,0.133327099
2016-04,-0.139921059
2016-05,0.065287284
2016-06,-0.036831071
2016-07,0.090062595
2016-08,0.018136634
2016-09,0.071276164
2016-10,0.004334191
2016-11,-0.026598311
2016-12,0.053335555
2017-01,0.047746203
2017-02,0.128883862
2017-03,0.053236179
2017-04,-7.02773E-05
2017-05,0.063418649
2017-06,-0.053322359
2017-07,0.032703362
2017-08,0.102669659
2017-09,-0.056553521
2017-10,0.096807774
2017-11,0.016623247
2017-12,-0.011705578
2018-01,-0.010636967
2018-02,0.06384778
2018-03,-0.054210349
2018-04,-0.015019513
2018-05,0.13076358
2018-06,-0.005598467
2018-07,0.027983174
2018-08,0.196226873
2018-09,-0.0048248
2018-10,-0.030477677
2018-11,-0.184044564
2018-12,-0.113616388
2019-01,0.05515421
2019-02,0.040314833
2019-03,0.101730602
2019-04,0.056435641
2019-05,-0.127572425
2019-06,0.134872929
2019-07,0.076394386
2019-08,-0.020184
2019-09,0.077038012
2019-10,0.11068455
2019-11,0.074328634
2019-12,0.102083132
2020-01,0.054009643
2020-02,-0.116797646
2020-03,-0.067553596
2020-04,0.155373844
2020-05,0.082164641
2020-06,0.150492289
2020-07,0.165131301
2020-08,0.214380135
2020-09,-0.10090821
2020-10,-0.060012061
2020-11,0.09360643
2020-12,0.116496694
2021-01,-0.005501511
2021-02,-0.08108532
2021-03,0.008844956
2021-04,0.076217669
2021-05,-0.052107017
2021-06,0.100976056
2021-07,0.064982541
2021-08,0.040929699
2021-09,-0.066640354
2021-10,0.058657006
2021-11,0.103471589
2021-12,0.07579642
2022-01,-0.015712145
2022-02,-0.055269335
2022-03,0.058820597
2022-04,-0.097130812
2022-05,-0.055883406
2022-06,-0.080080151
2022-07,0.188633895
2022-08,-0.032551912
2022-09,-0.119755925
2022-10,0.109551437
2022-11,-0.034629023
2022-12,-0.12081654
2023-01,0.110521147
2023-02,0.021623067
2023-03,0.12035655
2023-04,0.028987432
2023-05,0.044613381
2023-06,0.09584381
2023-07,0.012785473
2023-08,-0.043675407
2023-09,-0.087447576
2023-10,-0.002569893
2023-11,0.112314751
2023-12,0.014917833
2024-01,-0.042227166
2024-02,-0.019793976
2024-03,-0.050075704
2024-04,-0.006706325
2024-05,0.128691426
2024-06,0.09703856
2024-07,0.054410753
2024-08,0.031160008
2024-09,0.01864501
2024-10,-0.030429205
2024-11,0.050551064
2024-12,0.056316156
